sistema,mutacao,estado,cypa,mode,affinity,rmsd_lb,rmsd_ub
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),13,-6.853,2.631,5.232
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),14,-6.751,3.61,10.19
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),15,-6.699,3.114,10.3
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),16,-6.628,3.436,10.11
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),17,-6.585,2.905,4.569
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),18,-6.561,2.694,4.058
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),19,-6.404,2.84,4.489
4TQA_tri,KRAS G13D,inativo (GDP),Sim (CypA superposta),20,-6.283,3.09,10.65
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),1,-5.692,0.0,0.0
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),2,-5.232,4.57,11.25
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),3,-5.217,2.73,4.409
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),4,-5.036,2.41,3.351
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),5,-5.03,1.769,2.133
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),6,-5.006,1.848,2.701
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),7,-4.933,3.129,10.64
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),8,-4.931,3.841,7.418
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),9,-4.917,5.005,9.593
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),10,-4.869,5.822,9.813
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),11,-4.826,3.751,11.09
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),12,-4.726,3.009,6.137
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),13,-4.713,3.353,10.79
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),14,-4.686,5.519,12.91
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),15,-4.64,3.405,10.51
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),16,-4.631,2.983,5.82
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),17,-4.558,4.656,11.27
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),18,-4.54,6.444,12.21
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),19,-4.403,3.907,7.444
8BLR_tri,KRAS G13D,"inativo (GDP), switch-I aberto",Sim (CypA superposta),20,-4.344,3.988,7.271
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),1,-5.673,0.0,0.0
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),2,-5.208,8.784,14.87
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),3,-5.198,8.56,14.31
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),4,-4.82,8.332,13.92
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),5,-4.686,8.022,13.24
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),6,-4.643,7.722,12.07
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),7,-4.637,1.702,3.556
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),8,-4.635,8.172,14.02
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),9,-4.514,13.72,16.51
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),10,-4.464,7.678,12.64
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),11,-4.394,9.574,14.91
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),12,-4.388,8.65,15.1
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),13,-4.367,4.495,10.59
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),14,-4.358,8.213,12.19
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),15,-4.354,11.53,15.92
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),16,-4.335,2.254,4.166
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),17,-4.268,10.1,16.07
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),18,-4.267,8.359,14.67
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),19,-4.22,7.523,11.62
4TQA_kras,KRAS G13D,inativo (GDP),Não (KRAS isolado),20,-4.14,1.858,2.533
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),1,-5.096,0.0,0.0
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),2,-4.839,5.524,11.19
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),3,-4.831,4.115,7.761
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),4,-4.738,4.396,8.64
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),5,-4.715,4.036,9.55
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),6,-4.689,3.359,10.9
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),7,-4.689,3.54,6.281
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),8,-4.68,4.199,8.722
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),9,-4.617,3.362,11.01
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),10,-4.61,5.617,9.831
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),11,-4.604,3.829,9.742
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),12,-4.591,4.208,11.35
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),13,-4.586,4.427,9.393
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),14,-4.558,5.499,9.774
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),15,-4.53,3.135,5.912
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),16,-4.492,3.395,9.849
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),17,-4.48,3.306,10.15
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),18,-4.464,10.42,15.34
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),19,-4.464,5.368,8.248
8BLR_kras,KRAS G13D,"inativo (GDP), switch-I aberto",Não (KRAS isolado),20,-4.453,5.517,11.24
